node1	node2	MISIM_similarity_value
hsa-mir-217	hsa-mir-376c	0.1225
hsa-mir-217	hsa-mir-99a	0.1464
hsa-mir-217	hsa-mir-130a	0.1991
hsa-mir-217	hsa-mir-27a	0.1605
hsa-mir-217	hsa-mir-27b	0.0711
hsa-mir-217	hsa-mir-454	0.0732
hsa-mir-217	hsa-mir-362	0
hsa-mir-217	hsa-mir-182	0.0462
hsa-mir-217	hsa-mir-98	0.1158
hsa-mir-217	hsa-mir-92b	0.1818
hsa-mir-217	hsa-mir-432	0
hsa-mir-217	hsa-mir-411	0
hsa-mir-217	hsa-mir-335	0.1648
hsa-mir-217	hsa-mir-29c	0.0717
hsa-mir-217	hsa-mir-30d	0.1347
hsa-mir-217	hsa-mir-187	0.0276
hsa-mir-217	hsa-mir-301a	0.1698
hsa-mir-217	hsa-mir-199b	0.0555
hsa-mir-217	hsa-mir-126	0.1115
hsa-mir-217	hsa-mir-191	0.417
hsa-mir-140	hsa-mir-149	0.1051
hsa-mir-140	hsa-mir-34c	0.2634
hsa-mir-140	hsa-mir-22	0.287
hsa-mir-140	hsa-mir-379	0.4
hsa-mir-140	hsa-mir-382	0.0134
hsa-mir-140	hsa-mir-193b	0.4568
hsa-mir-140	hsa-mir-188	0.4136
hsa-mir-140	hsa-mir-31	0.0333
hsa-mir-140	hsa-mir-33a	0.4136
hsa-mir-140	hsa-mir-96	0.0336
hsa-mir-140	hsa-mir-30b	0.2427
hsa-mir-140	hsa-mir-181d	0.4022
hsa-mir-140	hsa-mir-141	0.1149
hsa-mir-140	hsa-mir-342	0.0558
hsa-mir-140	hsa-mir-127	0.123
hsa-mir-140	hsa-mir-20a	0.1373
hsa-mir-140	hsa-mir-376b	0.0278
hsa-mir-140	hsa-mir-331	0
hsa-mir-140	hsa-mir-224	0.2449
hsa-mir-140	hsa-mir-26b	0.0403
hsa-mir-140	hsa-mir-18a	0.1807
hsa-mir-140	hsa-mir-629	0
hsa-mir-140	hsa-mir-363	0.3087
hsa-mir-140	hsa-mir-455	0.2341
hsa-mir-140	hsa-mir-495	0.678
hsa-mir-140	hsa-let-7d	0.2357
hsa-mir-140	hsa-mir-660	0.0419
hsa-mir-140	hsa-mir-200b	0.0987
hsa-mir-140	hsa-mir-197	0.3447
hsa-mir-140	hsa-mir-491	0.1738
hsa-mir-140	hsa-mir-29a	0.2032
hsa-mir-140	hsa-let-7g	0.266
hsa-mir-140	hsa-mir-139	0.0892
hsa-mir-140	hsa-mir-203	0.2251
hsa-mir-140	hsa-mir-190	0.0553
hsa-mir-140	hsa-mir-652	0.4
hsa-mir-140	hsa-mir-421	0.0406
hsa-mir-140	hsa-mir-221	0.1728
hsa-mir-140	hsa-mir-132	0.4761
hsa-mir-140	hsa-mir-99b	0.4251
hsa-mir-140	hsa-mir-19a	0.1584
hsa-mir-140	hsa-mir-155	0.2226
hsa-mir-140	hsa-mir-25	0.1248
hsa-mir-140	hsa-mir-451	0.1066
hsa-mir-140	hsa-mir-145	0.2886
hsa-mir-140	hsa-mir-142	0.2729
hsa-mir-140	hsa-mir-486	0
hsa-mir-140	hsa-mir-146a	0.2784
hsa-mir-140	hsa-mir-539	0.4
hsa-mir-140	hsa-mir-93	0.2981
hsa-mir-140	hsa-mir-20b	0.286
hsa-mir-140	hsa-let-7i	0.3638
hsa-mir-140	hsa-mir-151	0.2963
hsa-mir-140	hsa-mir-431	0.3333
hsa-mir-140	hsa-mir-181c	0.3492
hsa-mir-140	hsa-mir-429	0.1108
hsa-mir-140	hsa-mir-381	0.5714
hsa-mir-140	hsa-mir-10a	0.0759
hsa-mir-140	hsa-mir-34b	0.2599
hsa-mir-140	hsa-mir-136	0
hsa-mir-140	hsa-let-7b	0.2357
hsa-mir-140	hsa-mir-222	0.1623
hsa-mir-140	hsa-mir-21	0.2494
hsa-mir-140	hsa-mir-377	0
hsa-mir-140	hsa-mir-10b	0.1311
hsa-mir-140	hsa-mir-23a	0.2857
hsa-mir-140	hsa-mir-23b	0.3818
hsa-mir-140	hsa-mir-33b	0.4136
hsa-mir-140	hsa-mir-769	0
hsa-mir-140	hsa-mir-154	0.585
hsa-mir-140	hsa-mir-204	0.0789
hsa-mir-140	hsa-mir-106b	0.2239
hsa-mir-140	hsa-mir-150	0.1533
hsa-mir-140	hsa-mir-337	0.4072
hsa-mir-140	hsa-mir-487b	0.4
hsa-mir-140	hsa-mir-215	0.0766
hsa-mir-140	hsa-mir-212	0.468
hsa-mir-140	hsa-mir-452	0.3053
hsa-mir-140	hsa-mir-15a	0.1828
hsa-mir-140	hsa-mir-659	0.048
hsa-mir-140	hsa-mir-497	0.3147
hsa-mir-140	hsa-mir-423	0
hsa-mir-140	hsa-mir-143	0.274
hsa-mir-140	hsa-mir-323	0.0943
hsa-mir-140	hsa-mir-152	0.068
hsa-mir-140	hsa-mir-330	0
hsa-mir-140	hsa-let-7e	0.3097
hsa-mir-140	hsa-mir-223	0.2428
hsa-mir-140	hsa-mir-34a	0.2992
hsa-mir-140	hsa-let-7c	0.3404
hsa-mir-140	hsa-mir-17	0.1305
hsa-mir-140	hsa-mir-146b	0.5039
hsa-mir-140	hsa-mir-501	0.4
hsa-mir-140	hsa-mir-296	0.0639
hsa-mir-140	hsa-mir-186	0.0461
hsa-mir-140	hsa-mir-370	0.0161
hsa-mir-140	hsa-mir-125a	0.3523
hsa-mir-140	hsa-mir-28	0.2674
hsa-mir-140	hsa-mir-183	0.2677
hsa-mir-140	hsa-mir-196b	0.1028
hsa-mir-140	hsa-mir-195	0.1936
hsa-mir-140	hsa-mir-107	0.2749
hsa-mir-140	hsa-mir-192	0.2698
hsa-mir-140	hsa-mir-301b	0.3525
hsa-mir-140	hsa-mir-409	0.4136
hsa-mir-140	hsa-mir-185	0
hsa-mir-140	hsa-mir-378	0.0396
hsa-mir-140	hsa-mir-542	0.0143
hsa-mir-140	hsa-mir-130b	0.1672
hsa-mir-140	hsa-mir-135b	0.0769
hsa-mir-140	hsa-mir-106a	0.3424
hsa-mir-140	hsa-mir-148a	0.2877
hsa-mir-140	hsa-mir-340	0.0338
